"Year","County","Sex","Age","Harvest_Increase","year_freq","Class","Value","Class_Specify","Sex2","N_preharvest"
2032,"Jackson","All","All",0.5,"2026","precFawn",37.1629778672032,"Fawn",NA,NA
2033,"Jackson","All","All",0.5,"2026","precFawn",37.1480533477031,"Fawn",NA,NA
2034,"Jackson","All","All",0.5,"2026","precFawn",37.1420355554052,"Fawn",NA,NA
2035,"Jackson","All","All",0.5,"2026","precFawn",37.1384876805438,"Fawn",NA,NA
2026,"Jackson","All","All",0.6,"2026","precFawn",40.480420966309,"Fawn",NA,NA
2027,"Jackson","All","All",0.6,"2026","precFawn",37.6930048048151,"Fawn",NA,NA
2028,"Jackson","All","All",0.6,"2026","precFawn",37.8228938754049,"Fawn",NA,NA
2029,"Jackson","All","All",0.6,"2026","precFawn",37.3745225943827,"Fawn",NA,NA
2030,"Jackson","All","All",0.6,"2026","precFawn",37.2682365678712,"Fawn",NA,NA
2031,"Jackson","All","All",0.6,"2026","precFawn",37.1943874174994,"Fawn",NA,NA
2032,"Jackson","All","All",0.6,"2026","precFawn",37.1650968302362,"Fawn",NA,NA
2033,"Jackson","All","All",0.6,"2026","precFawn",37.1474024530012,"Fawn",NA,NA
2034,"Jackson","All","All",0.6,"2026","precFawn",37.1406478219778,"Fawn",NA,NA
2035,"Jackson","All","All",0.6,"2026","precFawn",37.1385661758359,"Fawn",NA,NA
2026,"Jackson","All","All",0.7,"2026","precFawn",40.5379945572535,"Fawn",NA,NA
2027,"Jackson","All","All",0.7,"2026","precFawn",37.8041563685731,"Fawn",NA,NA
2028,"Jackson","All","All",0.7,"2026","precFawn",37.851821192053,"Fawn",NA,NA
2029,"Jackson","All","All",0.7,"2026","precFawn",37.395665166764,"Fawn",NA,NA
2030,"Jackson","All","All",0.7,"2026","precFawn",37.2767742046373,"Fawn",NA,NA
2031,"Jackson","All","All",0.7,"2026","precFawn",37.1981592237026,"Fawn",NA,NA
2032,"Jackson","All","All",0.7,"2026","precFawn",37.1660899653979,"Fawn",NA,NA
2033,"Jackson","All","All",0.7,"2026","precFawn",37.1505516462514,"Fawn",NA,NA
2034,"Jackson","All","All",0.7,"2026","precFawn",37.1433059322478,"Fawn",NA,NA
2035,"Jackson","All","All",0.7,"2026","precFawn",37.1379479626902,"Fawn",NA,NA
2026,"Jackson","All","All",0.8,"2026","precFawn",40.5944828569392,"Fawn",NA,NA
2027,"Jackson","All","All",0.8,"2026","precFawn",37.9186899656187,"Fawn",NA,NA
2028,"Jackson","All","All",0.8,"2026","precFawn",37.880887641435,"Fawn",NA,NA
2029,"Jackson","All","All",0.8,"2026","precFawn",37.4144433580109,"Fawn",NA,NA
2030,"Jackson","All","All",0.8,"2026","precFawn",37.2844639331947,"Fawn",NA,NA
2031,"Jackson","All","All",0.8,"2026","precFawn",37.203110768584,"Fawn",NA,NA
2032,"Jackson","All","All",0.8,"2026","precFawn",37.1672702978304,"Fawn",NA,NA
2033,"Jackson","All","All",0.8,"2026","precFawn",37.1479526071372,"Fawn",NA,NA
2034,"Jackson","All","All",0.8,"2026","precFawn",37.1414888522322,"Fawn",NA,NA
2035,"Jackson","All","All",0.8,"2026","precFawn",37.1353730465618,"Fawn",NA,NA
2026,"Jackson","All","All",0.9,"2026","precFawn",40.6556779892542,"Fawn",NA,NA
2027,"Jackson","All","All",0.9,"2026","precFawn",38.0417712150477,"Fawn",NA,NA
2028,"Jackson","All","All",0.9,"2026","precFawn",37.9125095932464,"Fawn",NA,NA
2029,"Jackson","All","All",0.9,"2026","precFawn",37.4374089988991,"Fawn",NA,NA
2030,"Jackson","All","All",0.9,"2026","precFawn",37.2924104367596,"Fawn",NA,NA
2031,"Jackson","All","All",0.9,"2026","precFawn",37.2086397549814,"Fawn",NA,NA
2032,"Jackson","All","All",0.9,"2026","precFawn",37.169818064839,"Fawn",NA,NA
2033,"Jackson","All","All",0.9,"2026","precFawn",37.1513693958864,"Fawn",NA,NA
2034,"Jackson","All","All",0.9,"2026","precFawn",37.142393596885,"Fawn",NA,NA
2035,"Jackson","All","All",0.9,"2026","precFawn",37.1371135700962,"Fawn",NA,NA
2026,"Jackson","All","All",1,"2026","precFawn",40.718875128038,"Fawn",NA,NA
2027,"Jackson","All","All",1,"2026","precFawn",38.1642600938104,"Fawn",NA,NA
2028,"Jackson","All","All",1,"2026","precFawn",37.9435007720956,"Fawn",NA,NA
2029,"Jackson","All","All",1,"2026","precFawn",37.4582302259632,"Fawn",NA,NA
2030,"Jackson","All","All",1,"2026","precFawn",37.2992793020609,"Fawn",NA,NA
2031,"Jackson","All","All",1,"2026","precFawn",37.2119127364895,"Fawn",NA,NA
2032,"Jackson","All","All",1,"2026","precFawn",37.1720328512246,"Fawn",NA,NA
2033,"Jackson","All","All",1,"2026","precFawn",37.1535443846364,"Fawn",NA,NA
2034,"Jackson","All","All",1,"2026","precFawn",37.1414432082699,"Fawn",NA,NA
2035,"Jackson","All","All",1,"2026","precFawn",37.139332339023,"Fawn",NA,NA
2026,"Jackson","All","All",0.1,"2027","precFawn",40.2341028380324,"Fawn",NA,NA
2027,"Jackson","All","All",0.1,"2027","precFawn",37.1558901400364,"Fawn",NA,NA
2028,"Jackson","All","All",0.1,"2027","precFawn",37.7432153626409,"Fawn",NA,NA
2029,"Jackson","All","All",0.1,"2027","precFawn",37.2960299103324,"Fawn",NA,NA
2030,"Jackson","All","All",0.1,"2027","precFawn",37.2384671556021,"Fawn",NA,NA
2031,"Jackson","All","All",0.1,"2027","precFawn",37.1784866776028,"Fawn",NA,NA
2032,"Jackson","All","All",0.1,"2027","precFawn",37.1585748096974,"Fawn",NA,NA
2033,"Jackson","All","All",0.1,"2027","precFawn",37.1454270937068,"Fawn",NA,NA
2034,"Jackson","All","All",0.1,"2027","precFawn",37.1413818698164,"Fawn",NA,NA
2035,"Jackson","All","All",0.1,"2027","precFawn",37.137901408679,"Fawn",NA,NA
2026,"Jackson","All","All",0.2,"2027","precFawn",40.2789831631767,"Fawn",NA,NA
2027,"Jackson","All","All",0.2,"2027","precFawn",37.2118280100706,"Fawn",NA,NA
2028,"Jackson","All","All",0.2,"2027","precFawn",37.8215913360231,"Fawn",NA,NA
2029,"Jackson","All","All",0.2,"2027","precFawn",37.3150863473444,"Fawn",NA,NA
2030,"Jackson","All","All",0.2,"2027","precFawn",37.2529499126858,"Fawn",NA,NA
2031,"Jackson","All","All",0.2,"2027","precFawn",37.186077731574,"Fawn",NA,NA
2032,"Jackson","All","All",0.2,"2027","precFawn",37.1603741021384,"Fawn",NA,NA
2033,"Jackson","All","All",0.2,"2027","precFawn",37.1464892440277,"Fawn",NA,NA
2034,"Jackson","All","All",0.2,"2027","precFawn",37.1394928437567,"Fawn",NA,NA
2035,"Jackson","All","All",0.2,"2027","precFawn",37.1373823210864,"Fawn",NA,NA
2026,"Jackson","All","All",0.3,"2027","precFawn",40.3275102145868,"Fawn",NA,NA
2027,"Jackson","All","All",0.3,"2027","precFawn",37.2679878411194,"Fawn",NA,NA
2028,"Jackson","All","All",0.3,"2027","precFawn",37.8979231480703,"Fawn",NA,NA
2029,"Jackson","All","All",0.3,"2027","precFawn",37.3363726262508,"Fawn",NA,NA
2030,"Jackson","All","All",0.3,"2027","precFawn",37.2656630246883,"Fawn",NA,NA
2031,"Jackson","All","All",0.3,"2027","precFawn",37.1887888224897,"Fawn",NA,NA
2032,"Jackson","All","All",0.3,"2027","precFawn",37.163087010156,"Fawn",NA,NA
2033,"Jackson","All","All",0.3,"2027","precFawn",37.1495485710407,"Fawn",NA,NA
2034,"Jackson","All","All",0.3,"2027","precFawn",37.1419803600655,"Fawn",NA,NA
2035,"Jackson","All","All",0.3,"2027","precFawn",37.1368868183064,"Fawn",NA,NA
2026,"Jackson","All","All",0.4,"2027","precFawn",40.3753711876364,"Fawn",NA,NA
2027,"Jackson","All","All",0.4,"2027","precFawn",37.3165471410286,"Fawn",NA,NA
2028,"Jackson","All","All",0.4,"2027","precFawn",37.9746396895787,"Fawn",NA,NA
2029,"Jackson","All","All",0.4,"2027","precFawn",37.3563813269848,"Fawn",NA,NA
2030,"Jackson","All","All",0.4,"2027","precFawn",37.2798231677834,"Fawn",NA,NA
2031,"Jackson","All","All",0.4,"2027","precFawn",37.196093371199,"Fawn",NA,NA
2032,"Jackson","All","All",0.4,"2027","precFawn",37.1645111945487,"Fawn",NA,NA
2033,"Jackson","All","All",0.4,"2027","precFawn",37.1495408679865,"Fawn",NA,NA
2034,"Jackson","All","All",0.4,"2027","precFawn",37.1403019622284,"Fawn",NA,NA
2035,"Jackson","All","All",0.4,"2027","precFawn",37.1406426155581,"Fawn",NA,NA
2026,"Jackson","All","All",0.5,"2027","precFawn",40.4278468723322,"Fawn",NA,NA
2027,"Jackson","All","All",0.5,"2027","precFawn",37.3648660884052,"Fawn",NA,NA
2028,"Jackson","All","All",0.5,"2027","precFawn",38.045942135042,"Fawn",NA,NA
2029,"Jackson","All","All",0.5,"2027","precFawn",37.3767696324849,"Fawn",NA,NA
2030,"Jackson","All","All",0.5,"2027","precFawn",37.2933774128186,"Fawn",NA,NA
2031,"Jackson","All","All",0.5,"2027","precFawn",37.1999358437439,"Fawn",NA,NA
2032,"Jackson","All","All",0.5,"2027","precFawn",37.1679516305028,"Fawn",NA,NA
2033,"Jackson","All","All",0.5,"2027","precFawn",37.1488108069268,"Fawn",NA,NA
2034,"Jackson","All","All",0.5,"2027","precFawn",37.1424962557968,"Fawn",NA,NA
2035,"Jackson","All","All",0.5,"2027","precFawn",37.1388173875213,"Fawn",NA,NA
2026,"Jackson","All","All",0.6,"2027","precFawn",40.480420966309,"Fawn",NA,NA
2027,"Jackson","All","All",0.6,"2027","precFawn",37.4064651302005,"Fawn",NA,NA
2028,"Jackson","All","All",0.6,"2027","precFawn",38.1223904206596,"Fawn",NA,NA
2029,"Jackson","All","All",0.6,"2027","precFawn",37.3973329430918,"Fawn",NA,NA
2030,"Jackson","All","All",0.6,"2027","precFawn",37.306249428127,"Fawn",NA,NA
2031,"Jackson","All","All",0.6,"2027","precFawn",37.2071691952083,"Fawn",NA,NA
2032,"Jackson","All","All",0.6,"2027","precFawn",37.1713675528389,"Fawn",NA,NA
2033,"Jackson","All","All",0.6,"2027","precFawn",37.1515196332175,"Fawn",NA,NA
2034,"Jackson","All","All",0.6,"2027","precFawn",37.1455629212857,"Fawn",NA,NA
2035,"Jackson","All","All",0.6,"2027","precFawn",37.1390194761585,"Fawn",NA,NA
2026,"Jackson","All","All",0.7,"2027","precFawn",40.5379945572535,"Fawn",NA,NA
2027,"Jackson","All","All",0.7,"2027","precFawn",37.4434520357267,"Fawn",NA,NA
2028,"Jackson","All","All",0.7,"2027","precFawn",38.1936805371164,"Fawn",NA,NA
2029,"Jackson","All","All",0.7,"2027","precFawn",37.4130553618216,"Fawn",NA,NA
2030,"Jackson","All","All",0.7,"2027","precFawn",37.318806431547,"Fawn",NA,NA
2031,"Jackson","All","All",0.7,"2027","precFawn",37.2114112979407,"Fawn",NA,NA
2032,"Jackson","All","All",0.7,"2027","precFawn",37.1741150148841,"Fawn",NA,NA
2033,"Jackson","All","All",0.7,"2027","precFawn",37.1532471488681,"Fawn",NA,NA
2034,"Jackson","All","All",0.7,"2027","precFawn",37.1466819659591,"Fawn",NA,NA
2035,"Jackson","All","All",0.7,"2027","precFawn",37.1397832936294,"Fawn",NA,NA
2026,"Jackson","All","All",0.8,"2027","precFawn",40.5944828569392,"Fawn",NA,NA
2027,"Jackson","All","All",0.8,"2027","precFawn",37.4755186058595,"Fawn",NA,NA
2028,"Jackson","All","All",0.8,"2027","precFawn",38.2629107981221,"Fawn",NA,NA
2029,"Jackson","All","All",0.8,"2027","precFawn",37.428354932095,"Fawn",NA,NA
2030,"Jackson","All","All",0.8,"2027","precFawn",37.3295520764539,"Fawn",NA,NA
2031,"Jackson","All","All",0.8,"2027","precFawn",37.2155496291682,"Fawn",NA,NA
2032,"Jackson","All","All",0.8,"2027","precFawn",37.175229537019,"Fawn",NA,NA
2033,"Jackson","All","All",0.8,"2027","precFawn",37.1525530120246,"Fawn",NA,NA
2034,"Jackson","All","All",0.8,"2027","precFawn",37.1421252783196,"Fawn",NA,NA
2035,"Jackson","All","All",0.8,"2027","precFawn",37.1409908750816,"Fawn",NA,NA
2026,"Jackson","All","All",0.9,"2027","precFawn",40.6556779892542,"Fawn",NA,NA
2027,"Jackson","All","All",0.9,"2027","precFawn",37.4984499648659,"Fawn",NA,NA
2028,"Jackson","All","All",0.9,"2027","precFawn",38.3309445465006,"Fawn",NA,NA
2029,"Jackson","All","All",0.9,"2027","precFawn",37.4438922731645,"Fawn",NA,NA
2030,"Jackson","All","All",0.9,"2027","precFawn",37.3402763869417,"Fawn",NA,NA
2031,"Jackson","All","All",0.9,"2027","precFawn",37.2210627709103,"Fawn",NA,NA
2032,"Jackson","All","All",0.9,"2027","precFawn",37.1800809488331,"Fawn",NA,NA
2033,"Jackson","All","All",0.9,"2027","precFawn",37.1565475829441,"Fawn",NA,NA
2034,"Jackson","All","All",0.9,"2027","precFawn",37.1481947772408,"Fawn",NA,NA
2035,"Jackson","All","All",0.9,"2027","precFawn",37.139185247139,"Fawn",NA,NA
2026,"Jackson","All","All",1,"2027","precFawn",40.718875128038,"Fawn",NA,NA
2027,"Jackson","All","All",1,"2027","precFawn",37.5200427578835,"Fawn",NA,NA
2028,"Jackson","All","All",1,"2027","precFawn",38.3956662152308,"Fawn",NA,NA
2029,"Jackson","All","All",1,"2027","precFawn",37.4599499762284,"Fawn",NA,NA
2030,"Jackson","All","All",1,"2027","precFawn",37.3502437412212,"Fawn",NA,NA
2031,"Jackson","All","All",1,"2027","precFawn",37.2278784868802,"Fawn",NA,NA
2032,"Jackson","All","All",1,"2027","precFawn",37.1776236554674,"Fawn",NA,NA
2033,"Jackson","All","All",1,"2027","precFawn",37.15518859073,"Fawn",NA,NA
2034,"Jackson","All","All",1,"2027","precFawn",37.144532395192,"Fawn",NA,NA
2035,"Jackson","All","All",1,"2027","precFawn",37.1389502471863,"Fawn",NA,NA
2026,"Jackson","All","All",0.1,"2028","precFawn",40.2341028380324,"Fawn",NA,NA
2027,"Jackson","All","All",0.1,"2028","precFawn",37.1558901400364,"Fawn",NA,NA
2028,"Jackson","All","All",0.1,"2028","precFawn",37.7002463331777,"Fawn",NA,NA
2029,"Jackson","All","All",0.1,"2028","precFawn",37.3346603313214,"Fawn",NA,NA
2030,"Jackson","All","All",0.1,"2028","precFawn",37.2404920800836,"Fawn",NA,NA
2031,"Jackson","All","All",0.1,"2028","precFawn",37.1831894813261,"Fawn",NA,NA
2032,"Jackson","All","All",0.1,"2028","precFawn",37.1602578638764,"Fawn",NA,NA
2033,"Jackson","All","All",0.1,"2028","precFawn",37.1451347877723,"Fawn",NA,NA
2034,"Jackson","All","All",0.1,"2028","precFawn",37.1406625373842,"Fawn",NA,NA
2035,"Jackson","All","All",0.1,"2028","precFawn",37.1373688617446,"Fawn",NA,NA
2026,"Jackson","All","All",0.2,"2028","precFawn",40.2789831631767,"Fawn",NA,NA
2027,"Jackson","All","All",0.2,"2028","precFawn",37.2118280100706,"Fawn",NA,NA
2028,"Jackson","All","All",0.2,"2028","precFawn",37.7271581070858,"Fawn",NA,NA
2029,"Jackson","All","All",0.2,"2028","precFawn",37.3962794432548,"Fawn",NA,NA
2030,"Jackson","All","All",0.2,"2028","precFawn",37.2577592415792,"Fawn",NA,NA
2031,"Jackson","All","All",0.2,"2028","precFawn",37.1938312670094,"Fawn",NA,NA
2032,"Jackson","All","All",0.2,"2028","precFawn",37.1612163324507,"Fawn",NA,NA
2033,"Jackson","All","All",0.2,"2028","precFawn",37.1495841590867,"Fawn",NA,NA
2034,"Jackson","All","All",0.2,"2028","precFawn",37.1407667046673,"Fawn",NA,NA
2035,"Jackson","All","All",0.2,"2028","precFawn",37.1384615384615,"Fawn",NA,NA
2026,"Jackson","All","All",0.3,"2028","precFawn",40.3275102145868,"Fawn",NA,NA
2027,"Jackson","All","All",0.3,"2028","precFawn",37.2679878411194,"Fawn",NA,NA
2028,"Jackson","All","All",0.3,"2028","precFawn",37.7447279240048,"Fawn",NA,NA
2029,"Jackson","All","All",0.3,"2028","precFawn",37.453562396442,"Fawn",NA,NA
2030,"Jackson","All","All",0.3,"2028","precFawn",37.2680781247273,"Fawn",NA,NA
2031,"Jackson","All","All",0.3,"2028","precFawn",37.2018131858515,"Fawn",NA,NA
2032,"Jackson","All","All",0.3,"2028","precFawn",37.1653432647038,"Fawn",NA,NA
2033,"Jackson","All","All",0.3,"2028","precFawn",37.1517792558353,"Fawn",NA,NA
2034,"Jackson","All","All",0.3,"2028","precFawn",37.1417938221064,"Fawn",NA,NA
2035,"Jackson","All","All",0.3,"2028","precFawn",37.1379230536417,"Fawn",NA,NA
2026,"Jackson","All","All",0.4,"2028","precFawn",40.3753711876364,"Fawn",NA,NA
2027,"Jackson","All","All",0.4,"2028","precFawn",37.3165471410286,"Fawn",NA,NA
2028,"Jackson","All","All",0.4,"2028","precFawn",37.7560008808632,"Fawn",NA,NA
2029,"Jackson","All","All",0.4,"2028","precFawn",37.5125084147517,"Fawn",NA,NA
2030,"Jackson","All","All",0.4,"2028","precFawn",37.27980783229,"Fawn",NA,NA
2031,"Jackson","All","All",0.4,"2028","precFawn",37.2147326559279,"Fawn",NA,NA
2032,"Jackson","All","All",0.4,"2028","precFawn",37.1702154927772,"Fawn",NA,NA
2033,"Jackson","All","All",0.4,"2028","precFawn",37.1545716964827,"Fawn",NA,NA
2034,"Jackson","All","All",0.4,"2028","precFawn",37.1410102502539,"Fawn",NA,NA
2035,"Jackson","All","All",0.4,"2028","precFawn",37.1405246947939,"Fawn",NA,NA
2026,"Jackson","All","All",0.5,"2028","precFawn",40.4278468723322,"Fawn",NA,NA
2027,"Jackson","All","All",0.5,"2028","precFawn",37.3648660884052,"Fawn",NA,NA
2028,"Jackson","All","All",0.5,"2028","precFawn",37.7603866958223,"Fawn",NA,NA
2029,"Jackson","All","All",0.5,"2028","precFawn",37.5678651429439,"Fawn",NA,NA
2030,"Jackson","All","All",0.5,"2028","precFawn",37.2905160469927,"Fawn",NA,NA
2031,"Jackson","All","All",0.5,"2028","precFawn",37.2210702532007,"Fawn",NA,NA
2032,"Jackson","All","All",0.5,"2028","precFawn",37.1737843874687,"Fawn",NA,NA
2033,"Jackson","All","All",0.5,"2028","precFawn",37.1537562060306,"Fawn",NA,NA
2034,"Jackson","All","All",0.5,"2028","precFawn",37.145002599303,"Fawn",NA,NA
2035,"Jackson","All","All",0.5,"2028","precFawn",37.137330754352,"Fawn",NA,NA
2026,"Jackson","All","All",0.6,"2028","precFawn",40.480420966309,"Fawn",NA,NA
2027,"Jackson","All","All",0.6,"2028","precFawn",37.4064651302005,"Fawn",NA,NA
2028,"Jackson","All","All",0.6,"2028","precFawn",37.7590114937917,"Fawn",NA,NA
2029,"Jackson","All","All",0.6,"2028","precFawn",37.6201518124344,"Fawn",NA,NA
2030,"Jackson","All","All",0.6,"2028","precFawn",37.3024361259655,"Fawn",NA,NA
2031,"Jackson","All","All",0.6,"2028","precFawn",37.2308119802314,"Fawn",NA,NA
2032,"Jackson","All","All",0.6,"2028","precFawn",37.1751209894246,"Fawn",NA,NA
2033,"Jackson","All","All",0.6,"2028","precFawn",37.1555413350398,"Fawn",NA,NA
2034,"Jackson","All","All",0.6,"2028","precFawn",37.1462429951594,"Fawn",NA,NA
2035,"Jackson","All","All",0.6,"2028","precFawn",37.1395710163643,"Fawn",NA,NA
2026,"Jackson","All","All",0.7,"2028","precFawn",40.5379945572535,"Fawn",NA,NA
2027,"Jackson","All","All",0.7,"2028","precFawn",37.4434520357267,"Fawn",NA,NA
2028,"Jackson","All","All",0.7,"2028","precFawn",37.7504983737278,"Fawn",NA,NA
2029,"Jackson","All","All",0.7,"2028","precFawn",37.6674188005879,"Fawn",NA,NA
2030,"Jackson","All","All",0.7,"2028","precFawn",37.3107783935809,"Fawn",NA,NA
2031,"Jackson","All","All",0.7,"2028","precFawn",37.2376354557321,"Fawn",NA,NA
2032,"Jackson","All","All",0.7,"2028","precFawn",37.1785543521194,"Fawn",NA,NA
2033,"Jackson","All","All",0.7,"2028","precFawn",37.1576486305945,"Fawn",NA,NA
2034,"Jackson","All","All",0.7,"2028","precFawn",37.1432765091946,"Fawn",NA,NA
2035,"Jackson","All","All",0.7,"2028","precFawn",37.1411117898595,"Fawn",NA,NA
2026,"Jackson","All","All",0.8,"2028","precFawn",40.5944828569392,"Fawn",NA,NA
2027,"Jackson","All","All",0.8,"2028","precFawn",37.4755186058595,"Fawn",NA,NA
2028,"Jackson","All","All",0.8,"2028","precFawn",37.7302971079734,"Fawn",NA,NA
2029,"Jackson","All","All",0.8,"2028","precFawn",37.7176475677546,"Fawn",NA,NA
2030,"Jackson","All","All",0.8,"2028","precFawn",37.3128847607733,"Fawn",NA,NA
2031,"Jackson","All","All",0.8,"2028","precFawn",37.2449310799991,"Fawn",NA,NA
2032,"Jackson","All","All",0.8,"2028","precFawn",37.1830496700243,"Fawn",NA,NA
2033,"Jackson","All","All",0.8,"2028","precFawn",37.158612872992,"Fawn",NA,NA
2034,"Jackson","All","All",0.8,"2028","precFawn",37.1481108532901,"Fawn",NA,NA
2035,"Jackson","All","All",0.8,"2028","precFawn",37.1393384940183,"Fawn",NA,NA
2026,"Jackson","All","All",0.9,"2028","precFawn",40.6556779892542,"Fawn",NA,NA
2027,"Jackson","All","All",0.9,"2028","precFawn",37.4984499648659,"Fawn",NA,NA
2028,"Jackson","All","All",0.9,"2028","precFawn",37.7072172533511,"Fawn",NA,NA
2029,"Jackson","All","All",0.9,"2028","precFawn",37.755563596888,"Fawn",NA,NA
2030,"Jackson","All","All",0.9,"2028","precFawn",37.3156908347822,"Fawn",NA,NA
2031,"Jackson","All","All",0.9,"2028","precFawn",37.2514871191731,"Fawn",NA,NA
2032,"Jackson","All","All",0.9,"2028","precFawn",37.1829196351591,"Fawn",NA,NA
2033,"Jackson","All","All",0.9,"2028","precFawn",37.1617312072893,"Fawn",NA,NA
2034,"Jackson","All","All",0.9,"2028","precFawn",37.1436416052716,"Fawn",NA,NA
2035,"Jackson","All","All",0.9,"2028","precFawn",37.138851219344,"Fawn",NA,NA
2026,"Jackson","All","All",1,"2028","precFawn",40.718875128038,"Fawn",NA,NA
2027,"Jackson","All","All",1,"2028","precFawn",37.5200427578835,"Fawn",NA,NA
2028,"Jackson","All","All",1,"2028","precFawn",37.6715957805501,"Fawn",NA,NA
